'i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
-0.244,-0.22899999999999998,0.015,0.237,-0.13,-0.107,-0.044000000000000004,-0.12,-0.055999999999999994,0.106,0.19699999999999998,0.195,-0.002,0.06,-0.009000000000000001
-0.242,-0.23399999999999999,0.009000000000000001,0.23800000000000002,-0.126,-0.113,-0.042,-0.11699999999999999,-0.051,0.11,0.20199999999999999,0.198,-0.002,0.061,-0.01
-0.24100000000000002,-0.23399999999999999,0.006999999999999999,0.23800000000000002,-0.124,-0.114,-0.044000000000000004,-0.11800000000000001,-0.053,0.11,0.201,0.19699999999999998,-0.004,0.055999999999999994,-0.009000000000000001
-0.24100000000000002,-0.22899999999999998,0.012,0.235,-0.126,-0.109,-0.045,-0.11699999999999999,-0.051,0.11199999999999999,0.201,0.19699999999999998,-0.002,0.053,-0.008
-0.23199999999999998,-0.22699999999999998,0.004,0.23,-0.11800000000000001,-0.11199999999999999,-0.045,-0.11699999999999999,-0.05,0.11199999999999999,0.2,0.19899999999999998,0.001,0.054000000000000006,-0.009000000000000001
-0.226,-0.233,-0.006999999999999999,0.23,-0.11,-0.12,-0.051,-0.121,-0.053,0.107,0.196,0.19399999999999998,0.0,0.055999999999999994,-0.009000000000000001
-0.225,-0.23600000000000002,-0.011000000000000001,0.231,-0.106,-0.124,-0.052000000000000005,-0.121,-0.054000000000000006,0.106,0.19399999999999998,0.193,0.001,0.057999999999999996,-0.008
-0.23399999999999999,-0.23399999999999999,0.001,0.23399999999999999,-0.11699999999999999,-0.11699999999999999,-0.049,-0.11699999999999999,-0.051,0.11199999999999999,0.19899999999999998,0.19899999999999998,0.002,0.052000000000000005,-0.008
-0.23399999999999999,-0.233,0.002,0.23399999999999999,-0.11800000000000001,-0.11599999999999999,-0.051,-0.11800000000000001,-0.05,0.111,0.201,0.19699999999999998,0.001,0.048,-0.006999999999999999
-0.22399999999999998,-0.235,-0.012,0.23,-0.105,-0.124,-0.055,-0.12,-0.054000000000000006,0.10800000000000001,0.198,0.19399999999999998,0.0,0.049,-0.006
-0.221,-0.231,-0.011000000000000001,0.226,-0.10400000000000001,-0.121,-0.054000000000000006,-0.12300000000000001,-0.054000000000000006,0.109,0.19899999999999998,0.195,0.001,0.053,-0.006999999999999999
-0.22699999999999998,-0.228,-0.001,0.228,-0.113,-0.115,-0.057,-0.122,-0.053,0.10800000000000001,0.198,0.196,0.003,0.062,-0.005
-0.23199999999999998,-0.226,0.006,0.22899999999999998,-0.11900000000000001,-0.11,-0.053,-0.11900000000000001,-0.052000000000000005,0.109,0.198,0.198,0.003,0.061,-0.005
-0.237,-0.23,0.008,0.23399999999999999,-0.122,-0.11199999999999999,-0.051,-0.12,-0.051,0.111,0.19899999999999998,0.19899999999999998,0.001,0.05,-0.005
-0.244,-0.233,0.012,0.23800000000000002,-0.128,-0.111,-0.049,-0.11900000000000001,-0.052000000000000005,0.113,0.19899999999999998,0.20199999999999999,0.001,0.053,-0.005
-0.237,-0.221,0.016,0.22899999999999998,-0.126,-0.10300000000000001,-0.051,-0.11900000000000001,-0.054000000000000006,0.11,0.198,0.20199999999999999,0.003,0.059000000000000004,-0.005
-0.22399999999999998,-0.213,0.011000000000000001,0.218,-0.11699999999999999,-0.102,-0.055999999999999994,-0.122,-0.057,0.106,0.196,0.19699999999999998,0.002,0.057999999999999996,-0.005
-0.22699999999999998,-0.213,0.013000000000000001,0.22,-0.11900000000000001,-0.10099999999999999,-0.053,-0.121,-0.055999999999999994,0.106,0.198,0.198,0.001,0.059000000000000004,-0.004
-0.22699999999999998,-0.209,0.018000000000000002,0.218,-0.122,-0.096,-0.052000000000000005,-0.11900000000000001,-0.054000000000000006,0.10800000000000001,0.201,0.19899999999999998,0.004,0.066,-0.003
-0.228,-0.20800000000000002,0.019,0.218,-0.12300000000000001,-0.095,-0.052000000000000005,-0.11900000000000001,-0.055,0.109,0.20199999999999999,0.19699999999999998,0.004,0.067,-0.003
-0.233,-0.21100000000000002,0.021,0.222,-0.127,-0.096,-0.052000000000000005,-0.12,-0.055,0.10800000000000001,0.203,0.19699999999999998,0.002,0.057,-0.003
-0.226,-0.214,0.013000000000000001,0.22,-0.11900000000000001,-0.10099999999999999,-0.052000000000000005,-0.11900000000000001,-0.054000000000000006,0.109,0.20199999999999999,0.19699999999999998,-0.001,0.057,-0.004
-0.226,-0.21600000000000003,0.009000000000000001,0.221,-0.11699999999999999,-0.10400000000000001,-0.051,-0.11900000000000001,-0.054000000000000006,0.10800000000000001,0.201,0.19699999999999998,-0.002,0.059000000000000004,-0.003
-0.21100000000000002,-0.203,0.008,0.207,-0.109,-0.098,-0.05,-0.11900000000000001,-0.052000000000000005,0.10800000000000001,0.201,0.19899999999999998,-0.001,0.062,-0.002
-0.213,-0.21,0.004,0.21100000000000002,-0.10800000000000001,-0.10300000000000001,-0.051,-0.12,-0.054000000000000006,0.107,0.19899999999999998,0.19699999999999998,0.001,0.061,-0.002
-0.22399999999999998,-0.226,-0.002,0.225,-0.111,-0.114,-0.053,-0.121,-0.057,0.10400000000000001,0.198,0.193,0.0,0.052000000000000005,-0.004
-0.22,-0.223,-0.003,0.222,-0.10800000000000001,-0.113,-0.052000000000000005,-0.11900000000000001,-0.057999999999999996,0.10300000000000001,0.198,0.19399999999999998,0.0,0.052000000000000005,-0.004
-0.21600000000000003,-0.22,-0.004,0.218,-0.105,-0.11199999999999999,-0.051,-0.11800000000000001,-0.055999999999999994,0.10400000000000001,0.198,0.195,0.002,0.052000000000000005,-0.004
-0.2,-0.207,-0.006999999999999999,0.203,-0.096,-0.107,-0.046,-0.113,-0.05,0.111,0.204,0.2,0.003,0.05,-0.005
-0.19699999999999998,-0.203,-0.005,0.2,-0.095,-0.10400000000000001,-0.043,-0.111,-0.046,0.114,0.20600000000000002,0.203,0.004,0.051,-0.004
-0.19699999999999998,-0.20199999999999999,-0.005,0.19899999999999998,-0.096,-0.10300000000000001,-0.044000000000000004,-0.10800000000000001,-0.046,0.113,0.205,0.203,0.004,0.048,-0.005
-0.209,-0.19899999999999998,0.01,0.204,-0.11,-0.095,-0.040999999999999995,-0.105,-0.044000000000000004,0.115,0.20600000000000002,0.205,0.002,0.047,-0.006
-0.23800000000000002,-0.222,0.016,0.231,-0.127,-0.10300000000000001,-0.049,-0.113,-0.051,0.10800000000000001,0.19899999999999998,0.19899999999999998,0.001,0.051,-0.005
-0.252,-0.237,0.015,0.244,-0.134,-0.111,-0.051,-0.114,-0.052000000000000005,0.105,0.19699999999999998,0.19699999999999998,0.001,0.044000000000000004,-0.004
-0.23800000000000002,-0.22899999999999998,0.01,0.23399999999999999,-0.124,-0.11,-0.045,-0.11199999999999999,-0.048,0.10800000000000001,0.2,0.19899999999999998,0.001,0.044000000000000004,-0.003
-0.22699999999999998,-0.218,0.006999999999999999,0.223,-0.11699999999999999,-0.105,-0.044000000000000004,-0.107,-0.046,0.11,0.20199999999999999,0.201,0.002,0.051,-0.002
-0.23399999999999999,-0.213,0.021,0.22399999999999998,-0.128,-0.096,-0.04,-0.10300000000000001,-0.043,0.111,0.204,0.203,0.001,0.052000000000000005,-0.002
-0.255,-0.233,0.022000000000000002,0.243,-0.138,-0.105,-0.045,-0.11,-0.049,0.107,0.19899999999999998,0.196,0.002,0.044000000000000004,-0.003
-0.247,-0.23199999999999998,0.017,0.239,-0.132,-0.10800000000000001,-0.046,-0.111,-0.049,0.105,0.198,0.193,0.002,0.042,-0.004
-0.231,-0.215,0.016,0.223,-0.12300000000000001,-0.1,-0.045,-0.107,-0.044000000000000004,0.107,0.201,0.193,0.002,0.052000000000000005,-0.004
-0.23,-0.214,0.015,0.222,-0.122,-0.1,-0.046,-0.107,-0.044000000000000004,0.10800000000000001,0.2,0.192,0.001,0.048,-0.001
-0.22,-0.21600000000000003,0.004,0.218,-0.11199999999999999,-0.107,-0.049,-0.11,-0.046,0.105,0.19399999999999998,0.192,-0.001,0.05,-0.001
-0.214,-0.209,0.005,0.212,-0.11,-0.102,-0.042,-0.10400000000000001,-0.042,0.113,0.2,0.195,-0.003,0.055999999999999994,-0.002
-0.214,-0.207,0.006999999999999999,0.21100000000000002,-0.111,-0.1,-0.04,-0.102,-0.038,0.11199999999999999,0.19899999999999998,0.195,0.0,0.052000000000000005,0.001
-0.228,-0.225,0.003,0.226,-0.115,-0.111,-0.045,-0.107,-0.044000000000000004,0.105,0.192,0.191,0.001,0.046,0.001
-0.225,-0.226,-0.002,0.226,-0.11199999999999999,-0.114,-0.044000000000000004,-0.10800000000000001,-0.046,0.10300000000000001,0.18600000000000003,0.188,-0.003,0.048,0.001
-0.213,-0.22699999999999998,-0.013000000000000001,0.22,-0.1,-0.12,-0.049,-0.113,-0.05,0.098,0.18,0.183,-0.003,0.051,0.003
-0.201,-0.21899999999999997,-0.018000000000000002,0.21,-0.091,-0.11900000000000001,-0.044000000000000004,-0.106,-0.043,0.105,0.187,0.18600000000000003,-0.002,0.044000000000000004,0.002
